"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.413","2018-06-07 09:34:41","D04P1","SB2903",1,7280,-350,1150,3230,3250,"D04",0.16340403827258,0.780164430330715,-0.411088351805538,0.680522745361529,-0.188169061947749
"result.414","2018-06-07 09:34:41","D04P2","SB2903",1,7070,-350,1000,3170,3250,"D04",0.118364956904124,0.780164430330715,-0.590122630996192,0.630639158706056,-0.188169061947749
"result.415","2018-06-08 09:35:06","D05P1","SB2903",1,8400,-300,900,3300,4500,"D05",0.403612472237679,0.824170115680403,-0.709478817123295,0.738720263126248,0.204729238236507
"result.416","2018-06-08 09:35:06","D05P2","SB2903",1,8195,-555,400,3100,5250,"D05",0.359645749949424,0.599741120396995,-1.30625974775881,0.572441640941337,0.44046821834706
"result.417","2018-06-19 09:30:43","D14P1","SB2903",1,7400,-1580,650,3580,4750,"D14",0.189140656197412,-0.302375429271605,-1.00786928244105,0.971510334185122,0.283308898273358
"result.418","2018-06-19 09:30:43","D14P2","SB2903",1,10560,-1090,850,3800,7000,"D14",0.866871594884656,0.128880287155336,-0.769156910186846,1.15441681858852,0.990525838605017
"result.419","2018-06-04 16:03:26","D01P1","SF2107",2,-1825,-3035,100,110,1000,"D01",-1.78936184677405,-1.58294087294752,-1.66432830614012,-1.91342376072307,-0.895386002279408
"result.420","2018-06-05 15:31:29","D02P1","SF2107",2,2135,-825,800,660,1500,"D02",-0.940053455254594,0.362110419508681,-0.828835003250397,-1.45615754971457,-0.738226682205706
"result.421","2018-06-05 15:31:29","D02P2","SF2107",2,1370,-1560,300,1130,1500,"D02",-1.1041243945254,-0.28477315513173,-1.42561593388591,-1.06540278758003,-0.738226682205706
"result.422","2018-06-06 15:28:09","D03P1","SF2107",2,3050,-430,400,1080,2000,"D03",-0.74381174357775,0.709755333771215,-1.30625974775881,-1.10697244312626,-0.581067362132004
"result.423","2018-06-06 15:28:09","D03P2","SF2107",2,3395,-1105,750,1500,2250,"D03",-0.669818967043858,0.115678581550429,-0.888513096313949,-0.757787336537947,-0.502487702095153
"result.424","2018-06-07 15:31:11","D04P1","SF2107",2,3935,-705,700,1440,2500,"D04",-0.554004186382113,0.467724064347932,-0.9481911893775,-0.80767092319342,-0.423908042058302
"result.425","2018-06-07 15:31:11","D04P2","SF2107",2,3655,-1665,850,1720,2750,"D04",-0.614056294873388,-0.377185094366074,-0.769156910186846,-0.574880852134545,-0.345328382021451
"result.426","2018-06-08 15:32:00","D05P1","SF2107",2,5870,-190,1400,2410,2250,"D05",-0.139001222344197,0.920982623449716,-0.112697886487781,-0.00121960559660405,-0.502487702095153
"result.427","2018-06-08 15:32:00","D05P2","SF2107",2,4980,-740,550,2420,2750,"D05",-0.329881138620034,0.43692008460315,-1.12722546856815,0.00709432551264147,-0.345328382021451
"result.428","2018-06-19 15:25:54","D14P1","SF2107",2,2660,-1880,500,2290,1750,"D14",-0.827455751833454,-0.566409541369732,-1.18690356163171,-0.10098677890755,-0.659647022168855
"result.429","2018-06-19 15:25:54","D14P2","SF2107",2,1165,-2615,450,1080,2250,"D14",-1.14809111681365,-1.21329311601014,-1.24658165469526,-1.10697244312626,-0.502487702095153
"result.430","2020-02-10 15:32:41","D01P1","SL2804",1,4500,-770,1700,1820,1750,"D01",-0.432827610319362,0.410516673393338,0.245370671893527,-0.49174154104209,-0.659647022168855
"result.431","2020-02-11 15:15:05","D02P1","SL2804",1,4200,-1070,2050,1220,2000,"D02",-0.497169155131443,0.146482561295211,0.663117323338387,-0.990577407596821,-0.581067362132004
"result.432","2020-02-11 15:25:38","D02P2","SL2804",1,6300,-400,2500,2200,2000,"D02",-0.0467783414468818,0.736158744981027,1.20022016091035,-0.17581215889076,-0.581067362132004
"result.433","2020-02-12 15:07:04","D03P1","SL2804",1,8175,-185,3050,3310,2000,"D03",0.355356313628619,0.925383191984685,1.85667918460941,0.747034194235493,-0.581067362132004
"result.434","2020-02-12 15:17:35","D03P2","SL2804",1,6990,-500,2350,2890,2250,"D03",0.101207211620902,0.648147374281652,1.02118588171969,0.397849087647181,-0.502487702095153
"result.435","2020-02-13 13:11:38","D04P1","SL2804",1,9620,-150,3400,3620,2750,"D04",0.665268087806805,0.956187171729466,2.27442583605427,1.0047660586221,-0.345328382021451
"result.436","2020-02-13 13:21:59","D04P2","SL2804",1,10420,-300,4100,3620,3000,"D04",0.836845540639018,0.824170115680403,3.10991913894399,1.0047660586221,-0.2667487219846
"result.437","2020-02-14 15:07:46","D05P1","SL2804",1,8160,-450,2600,3510,2500,"D05",0.352139236388015,0.69215305963134,1.31957634703745,0.913312816420404,-0.423908042058302
"result.438","2020-02-14 15:18:13","D05P2","SL2804",1,9580,-450,3450,3580,3000,"D05",0.656689215165194,0.69215305963134,2.33410392911782,0.971510334185122,-0.2667487219846
"result.439","2020-02-25 14:05:46","D14P1","SL2804",1,8710,-450,3500,3160,2500,"D14",0.470098735210162,0.69215305963134,2.39378202218138,0.62232522759681,-0.423908042058302
"result.440","2020-02-25 14:16:33","D14P2","SL2804",1,10700,-400,4000,4100,3000,"D14",0.896897649130293,0.736158744981027,2.99056295281689,1.40383475186589,-0.2667487219846
"result.441","2020-02-10 12:09:10","D01P1","SP0801",2,-4540,-7530,450,1290,1250,"D01",-2.37165282732338,-5.53905198588445,-1.24658165469526,-0.932379889832103,-0.816806342242557
"result.442","2020-02-11 10:57:47","D02P1","SP0801",2,-1395,-5275,550,2080,1250,"D02",-1.69713896587674,-3.55439557661353,-1.12722546856815,-0.275579332201706,-0.816806342242557
"result.443","2020-02-11 11:13:19","D02P2","SP0801",2,-1530,-5290,700,2060,1000,"D02",-1.72609266104217,-3.56759728221844,-0.9481911893775,-0.292207194420197,-0.895386002279408
"result.444","2020-02-12 11:32:06","D03P1","SP0801",2,1005,-3965,1100,2370,1500,"D03",-1.1824066073801,-2.40144662045171,-0.470766444869089,-0.0344753300335861,-0.738226682205706
"result.445","2020-02-12 11:43:09","D03P2","SP0801",2,1685,-3835,1300,2970,1250,"D03",-1.03656577247271,-2.28703183854253,-0.232054072614884,0.464360536521145,-0.816806342242557
